"category","displayName","subFolder","name"
"API Management","Audit - Sample Products should be removed from API Management","C:\Src\Azure\Community-Policy\\API Management\audit-sample-products-should-be-removed-from-api-management","06b50e5f-2815-4e79-bc97-02996a363c4d"
"API Management","Configure ReadOnly lock for API Management's subnet","C:\Src\Azure\Community-Policy\\API Management\configure-readonly-lock-for-api-management's-subnet","a00ef680-cc0e-4828-b3ea-8586b98be163"
"API Management","Require Internal VPN","C:\Src\Azure\Community-Policy\\API Management\deny-enforcing-internal-vpn","eb969283-cfab-4a68-a8a8-2b1fdd5feef8"
"App Service","Allowed App Services Plan SKUs","C:\Src\Azure\Community-Policy\\App Service\allowed-app-services-plan-skus","27e36ba1-7f72-4a8e-b981-ef06d5c78c1a"
"App Service","App Service apps should use the latest TLS version for SCM connections","C:\Src\Azure\Community-Policy\\App Service\app-service-apps-should-use-the-latest-tls-version-for-scm-connections","638423c3-17df-40bc-bf81-9bfa3f5cc0a7"
"App Service","App services should have local authentication methods disabled for FTP deployments","C:\Src\Azure\Community-Policy\\App Service\web-apps-should-have-ftp-basic-auth-disabled","d15c0177-f092-4797-82ef-cb2ec89cf527"
"App Service","Apps Require App Gateway Front End","C:\Src\Azure\Community-Policy\\App Service\apps-require-app-gateway-front-end","8431222f-a925-4451-bf45-b68634f61a25"
"App Service","Audit App Service vnetRouteAllEnabled","C:\Src\Azure\Community-Policy\\App Service\audit-app-service-vnetrouteallenabled","7a27cb4f-ede5-4c82-9393-85e4a0647071"
"App Service","Configure App Service apps to use private DNS zones with corresponding domain suffix","C:\Src\Azure\Community-Policy\\App Service\deploy-app-private-endpoint-private-dns-zone-link-domainbased","ceb2837a-37cc-4210-b801-e7ab055dc14f"
"App Service","Configure Diagnostic Settings for all Web App Service Plan SKUs","C:\Src\Azure\Community-Policy\\App Service\configure-diagnostic-settings-for-all-web-app-service-plan-skus","b910b71b-efca-439e-a9a5-96c067b19c64"
"App Service","Configure private DNS zones for private endpoints connected to Static Web App","C:\Src\Azure\Community-Policy\\App Service\configure-a-private-dns-zone-for-static-webapp","ee8e785b-1d5a-4e73-971e-e54bb75450f8"
"App Service","Deploy Webapp https only requirement","C:\Src\Azure\Community-Policy\\App Service\deploy-webapp-https-only-requirement","ed859de9-4bc2-4b49-bce3-dc620ef610ec"
"App Service","Enforce FTPS only or disablement of FTP/FTPS for App Service and Azure Functions","C:\Src\Azure\Community-Policy\\App Service\enforce-ftps-only-or-disablement-of-ftp-ftps-for-app-service-and-azure-functions","dd3e395e-1e91-4021-9903-4f2f47229c2a"
"App Service","Function App should only be accessible over HTTPS","C:\Src\Azure\Community-Policy\\App Service\function-app-should-only-be-accessible-over-https","6a1ea905-1368-4431-b1dd-48c58f736159"
"App Service","Function apps must be deployed to an App Service Environment (ASE)","C:\Src\Azure\Community-Policy\\App Service\function-apps-must-be-deployed-to-an-app-service-environment-ase","330a30ab-10db-4a0a-9b65-7aed65bc5fab"
"App Service","Function apps must have private endpoints enabled","C:\Src\Azure\Community-Policy\\App Service\function-apps-must-have-private-endpoints-enabled","2255c71d-9f5e-43c6-b0e8-5b4f1ddc6c40"
"App Service","Function apps should authenticate to Azure Container Registry using a managed identity","C:\Src\Azure\Community-Policy\\App Service\function-apps-should-authenticate-to-azure-container-registry-using-a-managed-identity","0525a312-9ca3-43c8-a5f8-249b34e26208"
"App Service","Function apps should be injected into a virtual network","C:\Src\Azure\Community-Policy\\App Service\function-apps-should-be-injected-into-a-virtual-network","fae71f6c-773b-4953-81d9-4f23c5499d8c"
"App Service","Function apps should have 'Client Certificates (Incoming client certificates)' enabled","C:\Src\Azure\Community-Policy\\App Service\function-apps-should-have-incoming-client-certificates-enabled","91e9e5aa-e63b-4124-ba4e-87e5b43f3820"
"App Service","Function apps should have basic local authentication methods disabled for FTP deployments","C:\Src\Azure\Community-Policy\\App Service\function-apps-should-have-ftp-basic-auth-disabled","91e9e5aa-e64b-4124-ba4e-87e5b43f3820"
"App Service","Function apps should have local authentication methods for deployment disabled","C:\Src\Azure\Community-Policy\\App Service\function-apps-should-have-local-authentication-methods-for-deployment-disabled","3634d9f0-8b92-40ca-9a15-07690ab72b7c"
"App Service","Latest TLS version should be used in your Function App","C:\Src\Azure\Community-Policy\\App Service\latest-tls-version-should-be-used-in-your-function-app","82a02e3d-4d2b-4ac6-87fe-ed00c292b78c"
"App Service","Linux function apps should only use a specified Azure Container Registry instance","C:\Src\Azure\Community-Policy\\App Service\linux-function-apps-should-only-use-a-specified-azure-container-registry-instance","6e149898-7113-458e-bb08-508c20070a78"
"App Service","Remote Debugging disabled deploy for App Service","C:\Src\Azure\Community-Policy\\App Service\remote-debugging-disabled-deploy-for-app-service","d55c0177-f092-4797-82ef-cb2ec89cf527"
"App Service","Remote Debugging should be disabled for App Service","C:\Src\Azure\Community-Policy\\App Service\remote-debugging-should-be- disbaled-for-app-services","78c92ce1-7e45-4482-95df-1c3b86af1b62"
"App Service","Require https only for all App Services","C:\Src\Azure\Community-Policy\\App Service\require-https-only-for-all-app-services","e0ae173d-4fab-49c6-a313-1958bcd08592"
"App Service","Web app configure always on","C:\Src\Azure\Community-Policy\\App Service\web-app-configure-always-on","61709510-5903-484e-86b8-311d2a52836c"
"App Service","Web app require always on","C:\Src\Azure\Community-Policy\\App Service\web-app-require-always-on","20b21801-8432-4515-acf9-4dffc85b0413"
